id,lang,presentation,structure,structure_autre,issue,issue_autre,duree,role,role_autre,nb_acteurs_differents,comprehension_sig_acteurs,repartition_roles,repartition_roles_autre,copil,alea_reprise,alea_detail,alea_reprise_autre,specificite_sig,conseil,techno_nb,techno,techno_note,docs_presence,docs_nb_formats,docs_formats,docs_note,methode_nb,methode_proj,methode_autre,methode_note,outil_proj_nb,outil_proj,outil_proj_autre,outil_proj_note,influence_nb,influence,influence_orga_com,influence_humaine_com,influence_budget_com,influence_technique_com,influence_politique_com,influence_autre_com
307,fr,Connecter et envoyer des instructions à des capteurs IOT. Remonter l'information dans Web SIG,"Public territorial (collectivité, EPCI, département, région)",,"Échec (abandon, gel, oubli)",,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,1,Je ne sais pas,,Oui,Autre,Gros manque de compréhension des SIG,"COmmunication déja faites, qui provoquent de l'attente de la part des demandeurs. Solution technique pas du tout prêtes.",Personne comprend ce qu'on fait.,Nous ne somme pas informaticien,3,"libre, proprio, standards",5,"Oui, mais peu claire ou obsolète",2,"docx, mails",5,0,nsp,,5,1,excel,,5,3,"humaine, politique, technique",,,,,,
314,fr,SIG sites contaminés déchets avec association villageoise,Autre,"financement agence d'aide au développement, portage équipe projet universitaire et associative",Autre,"succès partiel car collecte données, analyse toujours en cours, après vie dans les municipalités et autres acteurs non certaine",3 à 5 ans,Autre,"Désolée, combi: coordinatrice, technicienne SIG interne, formatrice",2 – 3,1,Plusieurs personnes impliquées durablement,,Non,,"Fin des financements, a signifié la fin du service d'une partie des images. Et manque de temps pour analyse a ralenti le progres. ",,aucune idée,"Pour nous? Faire avec les habitant.es, source de motivation, de savoir, d'énergie sans aucune comparaison et impact direct du processus sur les habitant.es",1,libre,10,"Oui, structurée et à jour",5,"catalog, qgz, docx, mails, tuto",8,1,autre,"Aucune théorie, mais en pratique agile, avec des moments de sprint et de carto intense, et une flexibilité pour s'adapter au contexte conflictuel et difficile de la région",7,0,rien,,5,2,"politique, technique",,,,"difficulté pour nous de servir des images sensible haute résolution, on a du passer par un prestataire externe et interrompre le service faute de financements. ","Difficulté du contexte israélo palestinien, très dur politiquement de faire des SIG en zone si sensible",
315,fr,Cartographie des perceptions,Autre,CNRS,Succès,,6 mois à 1 an,Chef·fe de projet / coordinateur·rice,,4 – 5,3,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Non,"Non, projet abandonné ou figé après aléas",ras,,Comprégension des enjeux géographiques,,2,"libre, standards",9,"Non, ou documentation informelle",1,docx,7,0,rien,,7,1,excel,,7,1,humaine,,,,,,
336,fr,"Carto faire son propre chemin de randonnée, vélo en fonction des points d'intérêt que l'on veut voir","Parapublic (syndicat mixte, EPIC…)",,"Échec (abandon, gel, oubli)",,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,2,Une personne clé portait le projet,,Non,"Non, projet abandonné ou figé après aléas",Donnés demandées jamais transmises,,"La multidisplinarité, la collaboration avec des personnes sans connaissances techniques",Bien s'assurer de tous les éléments de réussite du projet avant de dire oui aux élus ou à la direction ,3,"libre, code, proprio",9,"Oui, mais peu claire ou obsolète",2,"qgz, mails",1,0,rien,,4,0,rien,,2,3,"Orga, humaine, technique",Pas de communication de la direction avec les partenaires,"Expression du besoin pas claire, manque de direction",,Manque de données,,
340,fr,Application webmapping de médiation et valorisation travaux scientifiques ,"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,3 à 5 ans,Géomaticien·ne / technicien·ne SIG interne,,1 seul,1,Une personne clé portait le projet,,Oui,Autre,"Tant que ça marche, on ne s'en soucie pas","Ayant pu et su répondre seul à la commande, j'ai fait de l'ombre sans prêter allégeance. Aussi on m'a exclu d'autres projets ultérieurs.","La méconnaissance de cet outil, de ses prérequis et de ce mode de penser font que les demandes sont souvent soit irréalistes soit inadaptées.  Un SIG n'est nullement un outil de cartographie. ","L'alcool aide, mais c'est onéreux et dangereux.",2,"libre, code",10,"Non, ou documentation informelle",1,mails,1,1,autre,Démerde-toi,1,1,autre,"Envoie le bois, c'est urgent",1,6,"Orga, humaine, budget, politique, technique, autre","Par son absence, elle n'influe pas le projet au début, ensuite l'objectif est de la juguler.",cf organisationnelles,"Le libre et l'open-source sont gratuits, parait-il, comme les heures supplémentaires. ","Aide de toi, et le Ciel t'aidera","Si cela sert des intérêts individuels supérieurs, en paix tu seras... Sinon, un chef viendra te gouverner et t'expliquer.",Gérer ses addictions.  
350,fr,Plugin QGIS pour de la gestion des risques,"Public d’État (ministère, service déconcentré, agence nationale)",,Échec puis relance,,Plus de 5 ans,Prestataire externe / consultant·e,,2 – 3,5,Plusieurs personnes impliquées durablement,,Oui,Autre,Arrêt du financement et donc du projet en grande partie,"Par rapport aux attentes ""durant le projet"", je pense que c'est très sous-utilisé.",,"De l'opensource, bien documenté, des tests unitaires pour éviter des régressions par l'autre équipe",2,"libre, standards",10,"Oui, structurée et à jour",2,"tuto, wiki",10,2,"scrum, waterfall",,9,1,git,,9,3,"humaine, budget, politique",,,,,,
355,fr,Migration des données naturalistes vers GeoNature,Autre,Association,Succès,,1 à 3 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Une personne clé portait le projet,,Non,"Non concerné (même équipe, projet actif)",Embauche d'un poste dédié au projet,,connaissance des standards / composantes géographiques,recherchez des esprits curieux,3,"libre, code, standards",10,"Oui, structurée et à jour",5,"comments, qgz, docx, tuto, wiki",8,0,rien,,5,2,"trello, git",,5,3,"humaine, politique, technique",,bonne entente au sein de l'équipe projet,,,politique d'obligation de remontée des données naturalistes,
357,fr,Application cartographique gestion Pipeline,"Privé (entreprise, bureau d’études)",,Succès,,1 à 6 mois,Chef·fe de projet / coordinateur·rice,,4 – 5,2,Une personne clé portait le projet,,Oui,"Non concerné (même équipe, projet actif)",,,"Dans le cadre de projet SIG , la place de la technologie, logiciel SIG utilisé va fortement rendre le projet singulier par rapport à un projet informatique classique ",Vision claire et les outils adéquats et un bon suivi ,1,proprio,10,"Oui, structurée et à jour",2,"docx, mails",10,2,"scrum, waterfall",,10,0,rien,,10,4,"Orga, humaine, budget, technique",,,,,,
362,fr,Centralisation de données de mobilités douces,"Public territorial (collectivité, EPCI, département, région)",,"Échec (abandon, gel, oubli)",,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Plusieurs personnes impliquées durablement,,Je ne sais pas,"Non, projet abandonné ou figé après aléas",Le gestionnaire de la donnée à changer pour aller vers un gestionnaire non‑géomaticien.,,"Je crois que ce qui a rendu la gestion de projet SIG spécifique est sa nature transversale, combinant un projet informatique et des données géographiques. Par conséquent, il est crucial de maîtriser les bases ou les fondamentaux du projet et du SIG pour qu’ils soient compréhensibles par tous. En sachant que les parties prenantes doivent prendre conscience de toutes les étapes nécessaires au traitement des données (collecte, nettoyage, agrégation, etc.) afin d’avoir des indicateurs et informations pertinents et actuels.",Toujours faire une sauvegarde des données avant tous changements.,2,"libre, proprio",6,"Non, ou documentation informelle",4,"catalog, qgz, docx, mails",5,2,"scrum, waterfall",,5,0,rien,,5,1,humaine,,Manque de connaissances et compétences techniques pour assurer durablement la base de données.,,,,
363,fr,Atlas foncier d'un département,"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,1 seul,6,Une personne clé portait le projet,,Non,"Non concerné (même équipe, projet actif)",,,"La multiplicité des techniques (langages, logiciels) utilisés en SIG permettent sur un même projet, d'avoir plusieurs acteurs avec des rôles prédéfinis. Cela nécessite donc un choix de méthode de gestion de projet bien adapté.",Ne pas hésiter à organiser ou demander des réunions en cas de difficulté,1,libre,8,"Oui, mais peu claire ou obsolète",2,"qgz, wiki",5,0,rien,,5,1,excel,,5,1,technique,,,,En apprenant à me développer sur PostgreSQL j'ai pu finaliser le projet bien plus facilement,,
364,fr,Mise en place d'une plateforme géospatiale pour la gestion du foncier et des infrastructures sociocommunautaires dans la commune de Djougou au nord-est du Bénin ,"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 3 ans,Chef·fe de projet / coordinateur·rice,,2 – 3,1,Plusieurs personnes impliquées durablement,,Oui,"Oui, reprise fluide",départ de l'informaticien et son remplacement ,,C'est son application sur les éléments de l'environnement ou du territoire,"Détermination, endurance et curiosité et surtout le travail en équipe ",2,"libre, proprio",5,"Oui, structurée et à jour",3,"qgz, docx, tuto",6,1,kamban,,10,1,jira,,10,3,"Orga, humaine, technique",,,,,,
367,fr,carto Web de gestion batimentaire pour les communes et EPCI,"Public territorial (collectivité, EPCI, département, région)",,Succès,,1 à 6 mois,Chef·fe de projet / coordinateur·rice,,Plus de 5,1,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",implication des utilisateurs dès la phase de spécifications. Dvt rapide. Tests et résolution des bugs rapides. Formations dès livraison. Suivi ds le temps des utilisateurs. ,,Ils sont cinceptuellement (dimension tps/espace) plus difficiles à intégrer pour un néophyte ,Faire simple et ne pas lâcher l'affaire après les formations !,1,proprio,8,"Oui, structurée et à jour",2,"docx, tuto",8,0,rien,,5,0,rien,,5,5,"Orga, humaine, budget, technique, autre",Gouvernance partagée ,Appropriation dorect car les utilisateurs ont fait les specs,Prix sans aucune mesure avec les s° sur étagères ,Techno complètement maîtrisée par l'équipe. ,,L'outil est simple et va à l'essentiel. les produits sur étagères sont des usines à gaz
384,fr,Trottoirs virtuels autour des commerces en aérogare ,Autre,ADP - Entreprise dontl l'actionnaires majoritaire est l'Etat,Succès,,3 à 5 ans,Autre,chef de projet heomatique côté métier et patrimoine / AMOA,Plus de 5,2,Plusieurs personnes impliquées durablement,,Oui,Autre,mon arrivée _ reprise d'expression de Besoins auprès des métiers/ extension des métiers cibles _ suivi et MAJ et évolution du projet auprès du prestataire / évolution entre développement et MEP ,"autre : projet initial très éloigné du projet final-du au fait d'arriver dans le projet et de le reprendre en main, rendre des livrables actualisés plus en phase avec les besoins métier qui ont évolués et aménagements changeants des plateformes ","aucune - sinon l'effet visuel, le Wooo quand Demo des POCs, 1er de série car support cartographique - impact de l'image / de la carte interactive ","laisser ""l'humain"" de côté, se concentrer sur le taf, rien que le taf",2,"code, proprio",6,"Oui, structurée et à jour",3,"catalog, docx, mails",8,2,"scrum, waterfall",,6,1,autre,TFS,5,4,"Orga, humaine, budget, autre",un portage fort par l'entreprise - chefs de projets motives,"2 chefs de projets côté DGO, + 1 côté DSI + des prestataires ","aucune contrainte budgétaire,  ça aide",,,la volonté d'1 chef de projet d'être embauché par le Groupe... ça compte
398,fr,Création d'un outil de cartographie et de gestion du patrimoine d'une mairie,"Public territorial (collectivité, EPCI, département, région)",,Autre,En cours avec des hauts et des bas,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,1,Plusieurs personnes impliquées durablement,,Non,"Non concerné (même équipe, projet actif)",,,"Le fait que chacun puisse s'identifier à un projet SIG au travers d'une carte rend les dialogues riches et complexes. En effet, chaque acteur voit l'outil final par son prisme et souhaite personnaliser son expérience pour son besoin. Cela rend difficile la mise en place technique du projet.","Un classique : dites non aux fonctionnalités qui s'empilent. Expliquez votre choix de sujet en fonction du marché pu du contrat, et proposer de faire ça dans un autre temps. Sinon vous ne vous en sortirez pas.",3,"libre, code, standards",8,"Non, ou documentation informelle",4,"comments, qgz, docx, mails",5,1,autre,On fait des points régulier avec les acteurs.,5,0,rien,,5,3,"Orga, humaine, politique",Le fait qu'on doivent traiter avec plusieurs services de la commune et plusieurs bases de données de l'état rend le tout complique à organisé.,"Personnes ne s'y connait en SIG, les demandes sont donc flou et parfois exagérées.",,,"Le fait que les élus et la direction technique veuille absolument voir le projet émergé nous aide, malgré le manque de connaissance technique SIG des agents.",
404,fr,Mise à jour du réseau d'assainissement,"Public territorial (collectivité, EPCI, département, région)",,Autre,partiellement abouti,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Plusieurs personnes impliquées durablement,,Non,"Oui, reprise fluide",départ d'agent,,"La diversité de domaines touchés et le type de données impliquées, avec leur superposition et la rapidité des stats",Intégrer du terrain,1,libre,10,"Oui, structurée et à jour",2,"qgz, docx",10,0,rien,,5,0,rien,,5,1,Orga,,,,,,
411,fr,création d'un atlas sur une thématique à intégrer dans un document d'un PLUI ,"Parapublic (syndicat mixte, EPIC…)",,Succès,,6 mois à 1 an,"Membre d’une équipe métier (urbanisme, environnement, voirie, etc.)",,Plus de 5,4,Plusieurs personnes impliquées durablement,,Je ne sais pas,"Oui, reprise fluide",acteur ajouté en fin de projet qui a demandé de revoir une partie de la méthodologie,,la vision géographique,voir le projet dans sa globalité dès le début ,1,proprio,10,"Oui, mais peu claire ou obsolète",3,"qgz, docx, tuto",8,0,nsp,,8,0,rien,,5,2,"humaine, technique",,une communication importante pour une meilleure avancée et compréhension du projet par tous ,,libre choix des logiciels pour répondre plus facilement au projet,,
412,fr,Numérisation de réseau d'eau,"Public territorial (collectivité, EPCI, département, région)",,Autre,Projet terminé mais insatisfaisant,1 à 3 ans,Chef·fe de projet / coordinateur·rice,,4 – 5,3,Plusieurs personnes impliquées durablement,,Oui,Autre,Changement de responsable en cours de projet. Manque de moyen,Nouvelle personne recrutée manquant de contexte. Manque de moyens,Aucune,Connaissez le sujet du projet en profondeur. Prenez du temps pour définir le cahier des charges et le chiffrage associé,1,libre,9,"Oui, structurée et à jour",2,"docx, mails",7,0,rien,,2,0,rien,,5,3,"Orga, humaine, budget",,,,,,
417,fr,Application carto interactive pour exporter les réseaux électriques au format de plans PDF ou au format vectoriel,"Privé (entreprise, bureau d’études)",,Succès,,Plus de 5 ans,Prestataire externe / consultant·e,,Plus de 5,3,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",Réussite : équipe impliquée et bonne gestion de projet qui permet de réaliser des transferts de compétence efficaces (pas de perte d’information) même après le départ et/ou l’arrivée de personnes ,,La coordination entre les différents acteurs pour fournir ou créer la donnée implique beaucoup d’interdépendances. Une gestion de projet en mode agile permet d’identifier ces adhérences et de pouvoir prioriser ou mieux gérer cela ,Avoir une bonne documentation et former les gens qui ne sont pas geomaticiens de formation ,3,"code, proprio, standards",7,"Oui, structurée et à jour",4,"catalog, comments, qgz, wiki",10,2,"scrum, waterfall",,10,3,"jira, notion, autre",Confluence,10,3,"humaine, technique, autre",,Porteurs de projets et managers pédagogiques et qui prennent le temps d’expliquer + très bonne documentation ,,Avoir des technologies simples et bien gérées pour faciliter une bonne reprise ,,Méthode Agile
426,fr,Projet d'aménagement urbain type MASTER PLAN,"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,Plus de 5 ans,Géomaticien·ne / technicien·ne SIG interne,,Plus de 5,2,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",,,,,1,proprio,6,"Oui, structurée et à jour",4,"catalog, docx, mails, tuto",5,0,rien,,6,2,"excel, autre",REPORTING SIG TYPE AGOL,5,4,"Orga, humaine, budget, politique",,,,,,
437,fr,Webapp d’exploration de site industriel ,"Privé (entreprise, bureau d’études)",,Succès,,1 à 6 mois,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",,,Cette expérience est singulière car il fait toujours être capable de faire le lien entre les besoins d’un public qui ne connaît pas la solution technique utilisée et l’équipe sig ,La communication et la pédagogie sont deux éléments clés de la réussite d’un projet ,1,proprio,5,"Oui, structurée et à jour",3,"qgz, docx, tuto",10,0,rien,,10,0,rien,,10,2,"humaine, technique",,Bonne communication avec les acteurices concernés par l’application développée ce qui a permis de faire des rex réguliers pour faire évoluer l’application ,,Utilisation de logiciels propriétaires maîtrisé plus ou moins bien par l’ensemble des parties concernées ,,
438,fr,Saisie sur application web et script de traitement des opérations de travaux sur voirie,"Public territorial (collectivité, EPCI, département, région)",,Succès,,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,4 – 5,4,Rôle tournant,,Je ne sais pas,"Non concerné (même équipe, projet actif)",,,"Les géomaticiens ne sont pas informaticiens ou spécialistes métiers. Ce rôle à mi-chemin entre les deux facettes est, certes intéressant, mais oblige à une compréhension ""complète"" des spécificités de chaque métier.",Bien comprendre l'objectif,2,"code, proprio",9,"Non, ou documentation informelle",2,"qgz, docx",7,0,rien,,4,0,rien,,4,3,"Orga, humaine, technique",Le projet était très peu défini au départ et les différentes étapes se sont faites à tâtons...,"Des agents spécialisés sur le métier, des agents experts du SIG mais le langage entre les deux n'est pas le même...",,Problèmes de compatibilité des outils bureautiques et web,,
445,fr,Plateforme d'intégration et de visualisation de données géographique,"Privé (entreprise, bureau d’études)",,Succès,,3 à 5 ans,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,2,Une personne clé portait le projet,,Oui,"Non concerné (même équipe, projet actif)",POC (Preuve de concept) pour convaincre initialement notre DSI,,"Le type de données (et leur représentation carto) peut davantage concerner les équipes métiers. Un géomaticien a plusieurs casquettes : gestionnaire de données, cartographes, développeur,  et parfois chef de projet","Un géomaticien n'est pas qu'un cartographe : structurer ses données (modélisation, développer les process d'intégration en back-end etc.) est essentiel avant de proposer plein de fonctionnalités carto (souvent gadgets).  Il faut essayer de prioriser son propre besoin de géomaticien gestionnaire de données, avant de répondre aux besoins (souvent gadgets) cartographiques des autres équipes ",2,"code, proprio",5,"Oui, mais peu claire ou obsolète",6,"catalog, comments, qgz, docx, mails, tuto",4,0,rien,,5,3,"excel, monday, git",,6,2,"Orga, technique",,,,,,
446,fr,Créer des typologies de bâtis pour personnaliser les financements de rénovation,"Public territorial (collectivité, EPCI, département, région)",,Autre,Le projets suit son chemin. Mais il est trés ralentit par des dissensions internes,6 mois à 1 an,Chef·fe de projet / coordinateur·rice,,Plus de 5,2,"Plusieurs personnes impliquées au début, puis une seule personne maintenait le projet",,Oui,"Non concerné (même équipe, projet actif)",Chacun cherche à tirer son épingle du jeu et tire la couverture quand ça l'arrange,,Aucune particulière. À part que peu de personnes connaissent les SIG.,Constituer une équipe solide et surtout imposer ses choix,2,"code, proprio",1,"Non, ou documentation informelle",4,"docx, mails, tuto, wiki",1,2,"scrum, waterfall",,1,0,rien,,1,3,"Orga, humaine, politique","Pas d'équipe dédiée, hiérarchie qui suit le projet au compte-goute",,,,Le projet est imménament politique et chacun cherche a se faire voir,
448,fr,Production d'une base de données nationale de l'occupation du sol,"Public d’État (ministère, service déconcentré, agence nationale)",,Succès,,3 à 5 ans,Prestataire externe / consultant·e,,Plus de 5,3,Plusieurs personnes impliquées durablement,,Oui,"Oui, reprise fluide",,,L'interdisciplinarité des acteurs impliqués ,Comprendre le sens et la finalité du projet avant de s'y engager.,3,"libre, code, proprio",8,"Oui, structurée et à jour",2,"docx, mails",9,0,rien,,8,2,"excel, notion",,7,3,"Orga, budget, technique",,,Nécessite un investissement important au démarrage du projet,La clé de la réussite réside dans la maîtrise de l'IA ainsi que la disposition d'une infrastructure puissante,,
453,fr,Outil contrôle qualité,"Parapublic (syndicat mixte, EPIC…)",,Autre,En cours de production,6 mois à 1 an,Géomaticien·ne / technicien·ne SIG interne,,2 – 3,3,Plusieurs personnes impliquées durablement,,Oui,"Non concerné (même équipe, projet actif)",,,,,2,"code, proprio",3,"Non, ou documentation informelle",2,"comments, docx",6,0,rien,,5,1,excel,,7,0,,,,,,,
